objectname,yearpublished,average,baverage,objectid,minplayers,maxplayers,minplaytime,maxplaytime,bggrecagerange
7 Wonders,2010,7.83738,7.75169,68448,2,7,30,30,10+
Agricola,2007,8.0574,7.966,31260,1,5,30,150,12+
Android: Netrunner,2012,8.00898,7.82925,124742,2,2,45,45,12+
Arkham Horror: The Card Game,2016,8.41275,7.76997,205637,1,2,60,120,12+
Betrayal at House on the Hill,2004,7.14497,6.9677,10547,3,6,60,60,12+
The Big Book of Madness,2015,7.20149,6.68632,171233,2,5,60,90,12+
Boss Monster 2: The Next Level,2015,6.85757,6.23269,174973,2,4,20,30,8+
Carcassonne,2000,7.43563,7.33569,822,2,5,30,45,8+
Catan,1995,7.26755,7.12706,13,3,4,60,120,8+
Cranium,1998,5.70244,5.60654,891,4,16,60,60,10+
Dead of Winter: The Long Night,2016,8.15416,7.20143,193037,2,5,60,120,14+
Dixit,2008,7.36112,7.26905,39856,3,6,30,30,8+
Elder Sign,2011,7.01603,6.8803,100423,1,8,90,90,12+
Fairytale Gloom,2015,6.68816,5.73972,172062,2,5,30,60,10+
Forbidden Desert,2013,7.28905,7.14934,136063,2,5,45,45,8+
Galaxy Trucker,2007,7.47519,7.37241,31481,2,4,60,60,10+
Hive,2001,7.34105,7.23041,2655,2,2,20,20,8+
Kill Doctor Lucky,1996,6.15373,6.00819,257,3,8,45,45,10+
King of Tokyo,2011,7.30891,7.22152,70323,2,6,30,30,6+
Legendary: A Marvel Deck Building Game,2012,7.63815,7.39464,129437,1,5,45,45,10+
Lords of Waterdeep,2012,7.79639,7.68372,110327,2,5,60,120,10+
Monarch,2015,7.00081,5.70976,173115,2,4,30,50,10+
Mr. Jack,2006,7.0884,6.95423,21763,2,2,30,30,10+
Mr. Jack Pocket,2010,7.01147,6.76206,72287,2,2,15,15,8+
Mysterium,2015,7.53836,7.34656,181304,2,7,42,42,8+
One Night Ultimate Werewolf,2014,7.37116,7.18724,147949,3,10,10,10,10+
Pandemic,2008,7.67237,7.58642,30549,2,4,45,45,10+
The Resistance,2009,7.43275,7.3268,41114,5,10,30,30,12+
The Resistance: Avalon,2012,7.72054,7.55291,128882,5,10,30,30,12+
Saboteur,2004,6.63975,6.53853,9220,3,10,30,30,8+
Saboteur 2 (expansion-only editions),2011,7.02665,6.62236,91072,2,12,45,45,8+
Saboteur: The Duel,2014,6.37439,5.71237,168215,1,2,30,30,8+
Scythe,2016,8.34023,8.08581,169786,1,5,90,115,12+
Small World,2009,7.35935,7.27881,40692,2,5,40,80,8+
Splendor,2014,7.54493,7.43936,148228,2,4,30,30,8+
Spot it!,2009,6.75235,6.54811,63268,2,8,15,15,4+
Star Fluxx,2011,6.43081,6.14684,102104,2,6,10,10,10+
Star Trek: Catan,2012,7.08242,6.57208,117985,3,4,75,75,8+
Sylvion,2015,7.30315,6.5462,143405,1,2,30,30,10+
Telestrations,2009,7.4405,7.19262,46213,4,8,30,30,8+
Ticket to Ride: Europe,2005,7.59163,7.48146,14996,2,5,30,60,8+
Tokaido,2012,7.08263,6.9088,123540,2,5,45,45,8+
Watson & Holmes,2015,7.50839,6.20616,182694,2,7,45,75,12+
Zombie Dice,2010,6.2387,6.12443,62871,2,99,10,20,6+